sample_id,core_id,country_code,lat,long,land_use,depth,TC_gkg
21_uga_kaj_p1_0-10,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,0-10,52.48
21_uga_kaj_p1_10-20,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,10-20,54.86
21_uga_kaj_p1_20-30,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,20-30,40.74
21_uga_kaj_p1_30-40,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,30-40,40.39
21_uga_kaj_p1_40-50,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,40-50,39.61
21_uga_kaj_p1_50-60,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,50-60,38.64
21_uga_kaj_p1_60-70,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,60-70,31.03
21_uga_kaj_p1_70-80,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,70-80,27.35
21_uga_kaj_p1_80-90,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,80-90,22.67
21_uga_kaj_p1_90-100,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,90-100,19.12
21_uga_kaj_p1_100-110,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,100-110,25.2
21_uga_kaj_p1_110-120,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,110-120,14.02
21_uga_kaj_p1_120-130,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,120-130,7.039
21_uga_kaj_p1_130-140,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,130-140,3.736
21_uga_kaj_p1_140-150,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,140-150,2.361
21_uga_kaj_p1_150-160,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,150-160,2.649
21_uga_kaj_p1_160-170,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,160-170,2.15
21_uga_kaj_p1_170-180,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,170-180,1.211
21_uga_kaj_p1_180-190,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,180-190,0.757
21_uga_kaj_p1_190-200,21_uga_kaj_p1,UGA,0.836917,30.500833,cropland,190-200,0.836
21_uga_kais_profile01,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,0-10,25.41
21_uga_kais_profile02,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,10-55,19.95
21_uga_kais_profile03,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,55-95,5.448
21_uga_kais_profile04,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,95-140,4.199
21_uga_kais_profile05,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,140-192,3.222
21_uga_kais_profile06,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,192-230,2.01
21_uga_kais_profile07,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,230-274,0.779
21_uga_kais_profile08,21_uga_kai_profile,UGA,0.55928,30.13234,cropland,274-329,0.544
