ID	profN	x1	x2
sp0_out	301	35	35
Sp1	1	1.134	1.1136
Sp2	1	2.0336	1.0288
Sp3	1	3.0012	1.1264
Sp4	2	4.0368	1.1974
Sp5	2	5.0278	1.0678
Sp6	2	6.0682	1.1824
Sp7	3	7.1334	1.0532
Sp8	3	8.1714	1.1946
Sp9	3	9.1242	1.1746
Sp10	4	10.161	1.0342
Sp11	4	11.1392	1.0336
Sp12	4	12.0738	1.189
Sp13	5	13.0366	1.0468
Sp14	5	14.1522	1.1686
Sp15	5	15.1132	1.0896
Sp16	6	16.0672	1.05
Sp17	6	17.1842	1.0618
Sp18	6	18.1346	1.0154
Sp19	7	19.0454	1.0262
Sp20	7	20.081	1.0806
Sp21	7	21.0798	1.092
Sp22	8	22.1548	1.0352
Sp23	8	23.0224	1.1664
Sp24	8	24.1688	1.0914
Sp25	9	25.1014	1.0494
Sp26	9	26.0164	1.0178
Sp27	9	27.1784	1.0578
Sp28	10	28.083	1.0138
Sp29	10	29.0422	1.1512
Sp30	10	30.0604	1.0174
Sp31	11	1.1234	2.0468
Sp32	11	2.1166	2.1592
Sp33	11	3.1644	2.1878
Sp34	12	4.052	2.0514
Sp35	12	5.1986	2.0368
Sp36	12	6.164	2.009
Sp37	13	7.062	2.1496
Sp38	13	8.0758	2.128
Sp39	13	9.0724	2.1372
Sp40	14	10.0876	2.112
Sp41	14	11.075	2.1054
Sp42	14	12.0716	2.0098
Sp43	15	13.1922	2.197
Sp44	15	14.0002	2.1224
Sp45	15	15.0754	2.0274
Sp46	16	16.1456	2.0698
Sp47	16	17.0258	2.0656
Sp48	16	18.0956	2.1034
Sp49	17	19.0862	2.0354
Sp50	17	20.1038	2.13
Sp51	17	21.0692	2.1786
Sp52	18	22.0118	2.1192
Sp53	18	23.0288	2.0306
Sp54	18	24.0174	2.1852
Sp55	19	25.031	2.0406
Sp56	19	26.1572	2.1414
Sp57	19	27.1316	2.0648
Sp58	20	28.007	2.1358
Sp59	20	29.055	2.017
Sp60	20	30.0454	2.1686
Sp61	21	1.1368	3.0282
Sp62	21	2.188	3.1552
Sp63	21	3.0258	3.0486
Sp64	22	4.1106	3.06
Sp65	22	5.1838	3.1432
Sp66	22	6.1352	3.013
Sp67	23	7.131	3.1328
Sp68	23	8.0488	3.0596
Sp69	23	9.0872	3.044
Sp70	24	10.1704	3.1904
Sp71	24	11.104	3.1968
Sp72	24	12.1006	3.1542
Sp73	25	13.0916	3.1908
Sp74	25	14.1304	3.1522
Sp75	25	15.0962	3.007
Sp76	26	16.1446	3.0986
Sp77	26	17.1254	3.0832
Sp78	26	18.0662	3.153
Sp79	27	19.1828	3.1454
Sp80	27	20.0024	3.169
Sp81	27	21.1508	3.0594
Sp82	28	22.0402	3.0306
Sp83	28	23.1712	3.1926
Sp84	28	24.0668	3.1764
Sp85	29	25.1072	3.0344
Sp86	29	26.072	3.0258
Sp87	29	27.0158	3.0378
Sp88	30	28.0686	3.058
Sp89	30	29.1974	3.1798
Sp90	30	30.157	3.1496
Sp91	31	1.0698	4.0612
Sp92	31	2.1488	4.0446
Sp93	31	3.1594	4.059
Sp94	32	4.0158	4.0836
Sp95	32	5.0952	4.0524
Sp96	32	6.0098	4.0796
Sp97	33	7.0348	4.0958
Sp98	33	8.075	4.1322
Sp99	33	9.0926	4.1924
Sp100	34	10.1868	4.1202
Sp101	34	11.0934	4.1134
